분야,내용
건축,프랑스 파리에 있는 에펠탑은 원래 20년 후 철거될 예정이었다.
생물,문어는 지능이 매우 높아 도구를 사용할 줄 아는 몇 안 되는 무척추동물이다.
문화,대한민국의 김치는 유네스코 인류무형문화유산으로 등재되어 있다.
지리,아프리카에는 세계에서 가장 많은 나라가 속해 있다.
음식,중국의 마라탕은 혀를 얼얼하게 만드는 향신료인 화자오가 특징이다.
패션,호피무늬는 20세기 중반 이후 반항의 상징으로 자리잡았다.
경제,달러는 세계에서 가장 많이 거래되는 통화이다.
기술,"최초의 휴대전화는 무게가 1kg이 넘었고, 통화시간은 30분 남짓이었다."
자연,나무는 서로 뿌리를 통해 신호를 주고받는다고 알려져 있다.
우주,달 표면에는 수백만 년 전 운석이 만든 크레이터가 존재한다.
심리학,사람은 자신의 이름이 언급되었을 때 무의식적으로 반응한다.
언어,"아이슬란드어는 1,000년 전 고대 노르드어의 흔적을 그대로 간직하고 있다."
환경,플라스틱은 완전히 분해되는 데 400년 이상이 걸릴 수 있다.
철도,스위스의 열차는 평균 지연 시간이 1분 미만으로 세계 최고 수준이다.
전통,몽골 유목민은 천막 '게르'에서 계절에 따라 거처를 옮긴다.
과학,"지구 자전은 점점 느려지고 있으며, 1년에 약 1.7밀리초씩 느려진다."
의학,피는 몸을 한 바퀴 도는 데 약 1분밖에 걸리지 않는다.
역사,고려 시대에는 금속활자가 세계 최초로 사용되었다.
식물,해바라기는 실제로 태양을 따라 방향을 바꾼다.
생리학,인간의 피부는 약 28일마다 완전히 새롭게 교체된다.
게임,체스에서 '체크메이트'는 페르시아어에서 유래된 말이다.
물리학,음속은 기온이 높을수록 더 빨라진다.
천문학,목성은 태양계에서 가장 많은 위성을 가진 행성이다.
기상,무지개는 보통 비가 갠 직후 해가 비칠 때 생긴다.
군사,스위스는 의무병역제를 유지하면서도 세계에서 가장 평화로운 국가 중 하나로 평가받는다.
사회,핀란드는 세계에서 가장 행복한 나라로 6년 연속 선정되었다.
미술,모나리자의 미소는 관찰자의 시선에 따라 달라 보인다.
종교,"인도는 힌두교, 이슬람교, 기독교, 시크교 등 다양한 종교가 공존한다."
