문제번호,선택지A,선택지B
1,새벽 5시에 친구 3명과 해돋이 보러 산 정상 등반,밤 10시에 연인과 도심 루프탑 바 투어
2,비 오는 날 실내 스터디 카페에서 공부,맑은 날 야외 공원 벤치에서 독서
3,친구들과 함께 호수 위 카약 타기,가족과 함께 방파제 위 낚시
4,출장 중 호텔 조식 뷔페 마음껏 먹기,현지 시장 골목에서 길거리 음식 탐방
5,첫 데이트에 직접 만든 도시락 피크닉,분위기 좋은 카페 브런치 데이트
6,비행기 자리에서 창밖 구름 사진 찍기,기차 복도에서 지나가는 풍경 영상 찍기
7,여름휴가에 한적한 시골 민박 숙박,호캉스로 수영장 풀파티 즐기기
8,친구들과 새벽에 놀이공원 첫 탑승 도전,연인과 야간 불꽃놀이 관람
9,눈 오는 날 눈썰매장에서 스릴 만점 활강,무더운 날 워터파크에서 슬라이드 타기
10,출출할 때 편의점 컵라면으로 끼니 해결,맛집 블로그 검색해 찾아간 국수집에서 식사
11,밤하늘 별 보러 외진 산골 캠핑,도심 한복판 루프탑 별 관측 모임
12,휴식이 필요할 때 24시간 사우나 묵기,새로운 경험으로 24시간 무중력 룸 묵기
13,인스타그램 감성 사진 남기러 빈티지 카페 탐방,영상 콘텐츠 위해 액티비티 카페(번지점프) 체험
14,외국인 친구와 함께 길거리 음식 투어,한국 친구와 전통 찻집 투어
15,겨울 바람 맞으며 바닷가 방파제 조깅,한여름 열대야에 에어컨 빵빵한 실내 수영장 수영
16,퇴근 후 1시간 혼자 근사한 바에서 칵테일 음미,주말 낮 친구들과 맥주 마시며 축구 응원
17,이른 아침 해변 산책하며 커피 테이크아웃,밤 늦게 도심 번화가 야식 투어
18,비 오는 오후 도서관에서 음악 듣기,맑은 오후 도심 책방 카페에서 음악 듣기
19,한여름 해수욕장에서 수영과 선탠,한겨울 눈밭에서 스노슈 트레킹
20,멀리 떠나는 해외 배낭여행,차박하며 떠나는 국내 로드트립
21,첫 회식 메뉴로 불고기 무한 리필,치맥 무제한 안주 투어
22,주말 오전 농촌 체험 마을에서 고구마 캐기,주말 오후 도심 체험 카페에서 캔들 만들기
23,혼자 조용히 그림 그리기 워크숍 참여,여럿이 함께 댄스 클래스 참여
24,도심 공중 수영장에서 물놀이,강변 야외 수영장에서 물놀이
25,새벽 4시 일출 요가 클래스,밤 10시 달빛 요가 클래스
26,드론 들고 한강 다리 아래 풍경 촬영,고프로 들고 산 정상 풍경 촬영
27,여행 중 현지인과 홈스테이 체험,호텔 룸서비스만 이용하며 휴식
